Label,Value,Decimals,UnitId,Description,ContextName,From,To
NumberOfVotingRights,600000,0,pure,Number of voting rights,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context18,21/02/2025 00:00,21/02/2025 00:00
PercentageOfTotalVotingRights,1.47,0,pure,Percentage of total voting rights,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context18,21/02/2025 00:00,21/02/2025 00:00
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesAndWarrants,1.47,0,pure,Total shareholding as a percentage assuming full conversion of convertible securities and warrants and warrants,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context18,21/02/2025 00:00,21/02/2025 00:00
NumberOfEquitySharesHeldInDematerializedForm,600000,0,shares,Number of equity shares held in dematerialized form,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context18,21/02/2025 00:00,21/02/2025 00:00
NumberOfShareUnderSubCategoryOne,0,0,shares,Number of share under sub category one,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context18,21/02/2025 00:00,21/02/2025 00:00
NumberOfShareUnderSubCategoryTwo,0,0,shares,Number of share under sub category two,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context18,21/02/2025 00:00,21/02/2025 00:00
NumberOfShareUnderSubCategoryThree,0,0,shares,Number of share under sub category three,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context18,21/02/2025 00:00,21/02/2025 00:00
NumberOfShareholders,1,0,pure,Number of shareholders,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context18,21/02/2025 00:00,21/02/2025 00:00
NameOfTheShareholder,Nikhil Bidawatka,0,,Name of the shareholder,D_DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context19,22/11/2024 00:00,21/02/2025 00:00
NumberOfFullyPaidUpEquityShares,420000,0,shares,Number of fully paid up equity shares,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context19,21/02/2025 00:00,21/02/2025 00:00
NumberOfShares,420000,0,shares,Total number of shares,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context19,21/02/2025 00:00,21/02/2025 00:00
ShareholdingAsAPercentageOfTotalNumberOfShares,1.03,0,pure,Shareholding as a percentage of total number of shares,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context19,21/02/2025 00:00,21/02/2025 00:00
NumberOfVotingRightsHeldBySameClassOfSecurities,420000,0,pure,Number of voting rights held by same class of securities,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context19,21/02/2025 00:00,21/02/2025 00:00
NumberOfVotingRights,420000,0,pure,Number of voting rights,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context19,21/02/2025 00:00,21/02/2025 00:00
PercentageOfTotalVotingRights,1.03,0,pure,Percentage of total voting rights,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context19,21/02/2025 00:00,21/02/2025 00:00
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesAndWarrants,1.03,0,pure,Total shareholding as a percentage assuming full conversion of convertible securities and warrants and warrants,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context19,21/02/2025 00:00,21/02/2025 00:00
NumberOfEquitySharesHeldInDematerializedForm,420000,0,shares,Number of equity shares held in dematerialized form,DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context19,21/02/2025 00:00,21/02/2025 00:00
